drug_a,drug_b,combination,almanac_breast_median_combo_score,almanac_breast_mean_combo_score,almanac_breast_max_combo_score,almanac_breast_min_combo_score,almanac_breast_positive_line_fraction,almanac_breast_lines_tested,almanac_breast_cell_lines,almanac_breast_synergy_support,drug_a_has_patient_model,drug_b_has_patient_model,patient_specific_pair_tier
nilotinib,vandetanib,nilotinib + vandetanib,0,4.4,54,-49,0.4,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
cabazitaxel,nilotinib,cabazitaxel + nilotinib,79,88.8,141,59,1,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.984587401876316,FALSE,FALSE,not_patient_scored
nilotinib,ruxolitinib,nilotinib + ruxolitinib,28,19.8,66,-67,0.8,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.91738464484013,FALSE,FALSE,not_patient_scored
6 thioguanine,sorafenib,6 thioguanine + sorafenib,-22,-19.8,-7,-28,0,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
actinomycin d,sorafenib,actinomycin d + sorafenib,-20,-62,-10,-218,0,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
chlorambucil,sorafenib,chlorambucil + sorafenib,-48,-51.4,-22,-79,0,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
sorafenib,thiotepa,sorafenib + thiotepa,-54,-40.4,19,-94,0.2,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
melphalan,sorafenib,melphalan + sorafenib,-23,-25.6,11,-68,0.2,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
sorafenib,triethylenemelamine,sorafenib + triethylenemelamine,-495,-544.4,-367,-700,0,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
altretamine,sorafenib,altretamine + sorafenib,-60,-55.2,17,-143,0.4,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
5-fluorouracil,sorafenib,5-fluorouracil + sorafenib,-52,-40.2,9,-103,0.4,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,TRUE,FALSE,tier_B_one_drug_patient_scored
mithramycin,sorafenib,mithramycin + sorafenib,-37,-39.8,-15,-58,0,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
floxuridine,sorafenib,floxuridine + sorafenib,-12,-27.6,11,-72,0.2,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
hydroxyurea,sorafenib,hydroxyurea + sorafenib,-58,-62.6,-11,-113,0,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
sorafenib,uracil mustard,sorafenib + uracil mustard,-25,-20.8,12,-48,0.2,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
dacarbazine,sorafenib,dacarbazine + sorafenib,-45,-44,-27,-67,0,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
cytarabine,sorafenib,cytarabine + sorafenib,-43,-48.4,-20,-85,0,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
sorafenib,vincristine,sorafenib + vincristine,-82,-78.5,-6,-144,0,4,BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
megestrol acetate,sorafenib,megestrol acetate + sorafenib,-34,-40.8,15,-93,0.2,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
lomustine,sorafenib,lomustine + sorafenib,-14,-19.2,9,-45,0.2,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
daunorubicin,sorafenib,daunorubicin + sorafenib,-10,-4.4,16,-26,0.4,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
azacitidine,sorafenib,azacitidine + sorafenib,-22,-18.2,15,-44,0.2,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
cladribine,sorafenib,cladribine + sorafenib,-7,-17.4,17,-59,0.4,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
fludarabine,sorafenib,fludarabine + sorafenib,-77,-76.2,-32,-110,0,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
isotretinoin,sorafenib,isotretinoin + sorafenib,33,34.6,87,-15,0.6,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.932701512540685,FALSE,FALSE,not_patient_scored
sorafenib,teniposide,sorafenib + teniposide,-43,-26.8,15,-57,0.4,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
bleomycin,sorafenib,bleomycin + sorafenib,-22,-18.8,2,-33,0.2,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
paclitaxel,sorafenib,paclitaxel + sorafenib,135.5,141.5,196,99,1,4,BR:BT-549;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.995883591805476,TRUE,FALSE,tier_B_one_drug_patient_scored
etoposide,sorafenib,etoposide + sorafenib,-26,-24.2,-8,-41,0,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
dexrazoxane,sorafenib,dexrazoxane + sorafenib,13,8.6,58,-43,0.6,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.852766609228413,FALSE,FALSE,not_patient_scored
sorafenib,tamoxifen,sorafenib + tamoxifen,-3,-10.6,15,-60,0.4,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
rapamycin,sorafenib,rapamycin + sorafenib,8,27.8,77,-1,0.6,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.818973769864063,TRUE,FALSE,tier_B_one_drug_patient_scored
carboplatin,sorafenib,carboplatin + sorafenib,-13,-43.4,-2,-106,0,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
mitoxantrone,sorafenib,mitoxantrone + sorafenib,10,13.2,55,-25,0.6,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.835343672219031,FALSE,FALSE,not_patient_scored
sorafenib,temozolomide,sorafenib + temozolomide,-40,-37.2,-7,-61,0,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
clofarabine,sorafenib,clofarabine + sorafenib,-28,-38.4,-12,-100,0,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
sorafenib,vinorelbine,sorafenib + vinorelbine,44,41.8,57,28,1,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.952709170974536,FALSE,FALSE,not_patient_scored
gemcitabine,sorafenib,gemcitabine + sorafenib,-46,-41.2,-9,-83,0,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,TRUE,FALSE,tier_B_one_drug_patient_scored
docetaxel,sorafenib,docetaxel + sorafenib,112,102.6,248,-6,0.8,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.993203139957879,TRUE,FALSE,tier_B_one_drug_patient_scored
7 ethyl 10 hydroxycamptothecin,sorafenib,7 ethyl 10 hydroxycamptothecin + sorafenib,-4,-11.4,25,-42,0.4,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
nelarabine,sorafenib,nelarabine + sorafenib,-70,-69.8,1,-158,0.2,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
pemetrexed,sorafenib,pemetrexed + sorafenib,-6,-12.4,13,-41,0.2,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
sorafenib,vorinostat,sorafenib + vorinostat,-41,-64.6,-25,-133,0,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
capecitabine,sorafenib,capecitabine + sorafenib,-30,-47.8,-3,-123,0,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
exemestane,sorafenib,exemestane + sorafenib,3,5.4,44,-33,0.6,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.775895079456251,FALSE,FALSE,not_patient_scored
gefitinib,sorafenib,gefitinib + sorafenib,-3,9.6,72,-33,0.4,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
fulvestrant,sorafenib,fulvestrant + sorafenib,-77,-58,-2,-101,0,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
letrozole,sorafenib,letrozole + sorafenib,-79,-93.2,-55,-176,0,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
celecoxib,sorafenib,celecoxib + sorafenib,-59,-51.6,-16,-105,0,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
dasatinib,sorafenib,dasatinib + sorafenib,-8,-4.8,35,-44,0.4,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
pazopanib,sorafenib,pazopanib + sorafenib,56,40.4,79,-12,0.8,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.969270534175761,FALSE,FALSE,not_patient_scored
imatinib,sorafenib,imatinib + sorafenib,-58,-55.6,-29,-80,0,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
lapatinib,sorafenib,lapatinib + sorafenib,-37,-43.6,-13,-85,0,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,TRUE,FALSE,tier_B_one_drug_patient_scored
nilotinib,sorafenib,nilotinib + sorafenib,-19,-37.6,-12,-70,0,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
lenalidomide,sorafenib,lenalidomide + sorafenib,9,-13.8,21,-94,0.6,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.827685238368754,FALSE,FALSE,not_patient_scored
raloxifene,sorafenib,raloxifene + sorafenib,-8,-36.4,41,-143,0.4,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
abiraterone,sorafenib,abiraterone + sorafenib,8,-0.8,16,-39,0.8,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.818973769864063,FALSE,FALSE,not_patient_scored
sorafenib,sunitinib,sorafenib + sunitinib,-46,-28.5,27,-49,0.25,4,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231,0.378230901780586,FALSE,FALSE,not_patient_scored
sorafenib,vemurafenib,sorafenib + vemurafenib,13,-18.8,24,-84,0.6,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.852766609228413,FALSE,FALSE,not_patient_scored
depsipeptide,sorafenib,depsipeptide + sorafenib,-2,-2,23,-29,0.4,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
sorafenib,vismodegib,sorafenib + vismodegib,16,5.4,46,-44,0.6,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.869519433275895,FALSE,FALSE,not_patient_scored
crizotinib,sorafenib,crizotinib + sorafenib,-44,-38.6,25,-98,0.2,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
axitinib,sorafenib,axitinib + sorafenib,-41,-23.8,29,-84,0.4,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
sorafenib,vandetanib,sorafenib + vandetanib,-29,-34.6,6,-94,0.2,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
cabazitaxel,sorafenib,cabazitaxel + sorafenib,16,34,77,-3,0.8,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.869519433275895,FALSE,FALSE,not_patient_scored
ruxolitinib,sorafenib,ruxolitinib + sorafenib,-5,-14,16,-58,0.4,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
lenalidomide,triethylenemelamine,lenalidomide + triethylenemelamine,5,-3,75,-97,0.75,4,BR:BT-549;BR:HS 578T;BR:MCF7;BR:T-47D,0.793030825196247,FALSE,FALSE,not_patient_scored
doxorubicin,lenalidomide,doxorubicin + lenalidomide,-22.5,-27.5,-13,-52,0,4,BR:BT-549;BR:HS 578T;BR:MCF7;BR:T-47D,0.378230901780586,TRUE,FALSE,tier_B_one_drug_patient_scored
lenalidomide,pazopanib,lenalidomide + pazopanib,-11,-12.4,2,-31,0.2,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
lenalidomide,raloxifene,lenalidomide + raloxifene,-31,-22.8,10,-39,0.2,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
abiraterone,lenalidomide,abiraterone + lenalidomide,20,14.2,34,-17,0.8,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.888091135362818,FALSE,FALSE,not_patient_scored
lenalidomide,vemurafenib,lenalidomide + vemurafenib,4.5,3.8,53,-40,0.6,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.787669921501053,FALSE,FALSE,not_patient_scored
lenalidomide,vismodegib,lenalidomide + vismodegib,-11,4,58,-33,0.4,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
crizotinib,lenalidomide,crizotinib + lenalidomide,3.5,-1.7,55,-47,0.6,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.779245644265748,FALSE,FALSE,not_patient_scored
axitinib,lenalidomide,axitinib + lenalidomide,-4,-0.6,42,-48,0.4,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
lenalidomide,vandetanib,lenalidomide + vandetanib,-11,-12.2,27,-65,0.4,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
cabazitaxel,lenalidomide,cabazitaxel + lenalidomide,75,75.75,95,58,1,4,BR:BT-549;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.982768523836875,FALSE,FALSE,not_patient_scored
lenalidomide,ruxolitinib,lenalidomide + ruxolitinib,-44,-26.6,29,-52,0.2,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
ixabepilone,methotrexate,ixabepilone + methotrexate,-66,-69.2,-17,-135,0,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
6 thioguanine,ixabepilone,6 thioguanine + ixabepilone,-30,-30.8,-15,-53,0,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
6 mercaptopurine,ixabepilone,6 mercaptopurine + ixabepilone,-30,-39.4,6,-104,0.2,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
ixabepilone,nitrogen mustard,ixabepilone + nitrogen mustard,-102,-130.333333333333,-94,-195,0,3,BR:BT-549;BR:MCF7;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
allopurinol,ixabepilone,allopurinol + ixabepilone,-35,-31.8,17,-70,0.2,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
actinomycin d,ixabepilone,actinomycin d + ixabepilone,-14,-27,-7,-85,0,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
chlorambucil,ixabepilone,chlorambucil + ixabepilone,-50,-46,-9,-69,0,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
ixabepilone,thiotepa,ixabepilone + thiotepa,-50,-59,-37,-101,0,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
ixabepilone,melphalan,ixabepilone + melphalan,-28,-18.8,2,-34,0.2,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
ixabepilone,triethylenemelamine,ixabepilone + triethylenemelamine,-63,-60.25,-22,-93,0,4,BR:BT-549;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
altretamine,ixabepilone,altretamine + ixabepilone,-54,-62.4,-4,-103,0,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
acrichine,ixabepilone,acrichine + ixabepilone,0,-3.2,38,-30,0.4,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
5-fluorouracil,ixabepilone,5-fluorouracil + ixabepilone,17,11,23,-17,0.8,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.874114493586062,TRUE,FALSE,tier_B_one_drug_patient_scored
ixabepilone,mithramycin,ixabepilone + mithramycin,41,41.6,134,-16,0.6,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.947635458548727,FALSE,FALSE,not_patient_scored
ixabepilone,mitomycin,ixabepilone + mitomycin,-88,-78.8,-40,-115,0,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
floxuridine,ixabepilone,floxuridine + ixabepilone,-84,-76,-14,-155,0,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
hydroxyurea,ixabepilone,hydroxyurea + ixabepilone,-17,-1.8,54,-35,0.4,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
ixabepilone,uracil mustard,ixabepilone + uracil mustard,-75,-59.2,-16,-92,0,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
ixabepilone,mitotane,ixabepilone + mitotane,-9,-2.4,61,-52,0.4,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
dacarbazine,ixabepilone,dacarbazine + ixabepilone,-38,-24.2,10,-45,0.2,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
ixabepilone,methoxsalen,ixabepilone + methoxsalen,-11,-3.6,56,-44,0.2,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
ixabepilone,vinblastine,ixabepilone + vinblastine,-1,-11.4,14,-65,0.4,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
cytarabine,ixabepilone,cytarabine + ixabepilone,-126.5,-141,-100,-211,0,4,BR:BT-549;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
ixabepilone,thalidomide,ixabepilone + thalidomide,-10,-16.8,-2,-41,0,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
ixabepilone,vincristine,ixabepilone + vincristine,-24,-24,-3,-52,0,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
ixabepilone,megestrol acetate,ixabepilone + megestrol acetate,-67,-65.8,-8,-107,0,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
ixabepilone,lomustine,ixabepilone + lomustine,-31,-36.2,-7,-73,0,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
daunorubicin,ixabepilone,daunorubicin + ixabepilone,22,19,27,3,1,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.896802603867509,FALSE,FALSE,not_patient_scored
ixabepilone,streptozocin,ixabepilone + streptozocin,5,15.8,88,-36,0.6,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.793030825196247,FALSE,FALSE,not_patient_scored
azacitidine,ixabepilone,azacitidine + ixabepilone,0,5,92,-85,0.4,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
cladribine,ixabepilone,cladribine + ixabepilone,-84,-74.8,-29,-111,0,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
ifosfamide,ixabepilone,ifosfamide + ixabepilone,31,25,67,-20,0.8,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.926287574191078,FALSE,FALSE,not_patient_scored
fludarabine,ixabepilone,fludarabine + ixabepilone,-54,-51.2,8,-119,0.2,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
isotretinoin,ixabepilone,isotretinoin + ixabepilone,31,37.4,74,-4,0.8,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.926287574191078,FALSE,FALSE,not_patient_scored
ixabepilone,teniposide,ixabepilone + teniposide,-29.5,-20,17,-38,0.25,4,BR:BT-549;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
doxorubicin,ixabepilone,doxorubicin + ixabepilone,-52,-44.4,0,-74,0,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,TRUE,FALSE,tier_B_one_drug_patient_scored
bleomycin,ixabepilone,bleomycin + ixabepilone,-137,-113.4,-35,-169,0,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
ixabepilone,paclitaxel,ixabepilone + paclitaxel,15,0,55,-77,0.6,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.864541451273215,FALSE,TRUE,tier_B_one_drug_patient_scored
decitabine,ixabepilone,decitabine + ixabepilone,-21,-0.6,100,-55,0.4,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
bendamustine,ixabepilone,bendamustine + ixabepilone,-60,-83,-35,-167,0,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
etoposide,ixabepilone,etoposide + ixabepilone,-10,-13.2,2,-43,0.2,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
dexrazoxane,ixabepilone,dexrazoxane + ixabepilone,-40,-30.6,-4,-53,0,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
