drug_a,drug_b,combination,almanac_breast_median_combo_score,almanac_breast_mean_combo_score,almanac_breast_max_combo_score,almanac_breast_min_combo_score,almanac_breast_positive_line_fraction,almanac_breast_lines_tested,almanac_breast_cell_lines,almanac_breast_synergy_support,drug_a_has_patient_model,drug_b_has_patient_model,patient_specific_pair_tier
mitoxantrone,procarbazine,mitoxantrone + procarbazine,104,100,153,54,1,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.991479992341566,FALSE,FALSE,not_patient_scored
procarbazine,temozolomide,procarbazine + temozolomide,-25,-33.8,-3,-85,0,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
clofarabine,procarbazine,clofarabine + procarbazine,-19,-26.2,5,-60,0.2,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
procarbazine,vinorelbine,procarbazine + vinorelbine,9,24.2,56,3,1,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.827685238368754,FALSE,FALSE,not_patient_scored
gemcitabine,procarbazine,gemcitabine + procarbazine,-49,-36.8,4,-54,0.2,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,TRUE,FALSE,tier_B_one_drug_patient_scored
docetaxel,procarbazine,docetaxel + procarbazine,-38,-38,-17,-59,0,2,BR:MCF7;BR:MDA-MB-231,0.378230901780586,TRUE,FALSE,tier_B_one_drug_patient_scored
7 ethyl 10 hydroxycamptothecin,procarbazine,7 ethyl 10 hydroxycamptothecin + procarbazine,-24,-17,19,-53,0.4,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
nelarabine,procarbazine,nelarabine + procarbazine,-47.5,-93.25,-27,-251,0,4,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231,0.378230901780586,FALSE,FALSE,not_patient_scored
procarbazine,vorinostat,procarbazine + vorinostat,-52,-87.4,-38,-246,0,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
capecitabine,procarbazine,capecitabine + procarbazine,-60,-56.4,-11,-116,0,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
exemestane,procarbazine,exemestane + procarbazine,45,40.2,76,14,1,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.95433658816772,FALSE,FALSE,not_patient_scored
gefitinib,procarbazine,gefitinib + procarbazine,45,38.8,54,12,1,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.95433658816772,FALSE,FALSE,not_patient_scored
anastrozole,procarbazine,anastrozole + procarbazine,-28,-36.6,-23,-73,0,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
letrozole,procarbazine,letrozole + procarbazine,-22,-38.4,-14,-80,0,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
celecoxib,procarbazine,celecoxib + procarbazine,-39,-47.2,-17,-109,0,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
procarbazine,zoledronate,procarbazine + zoledronate,-13,-14,28,-47,0.2,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
dasatinib,procarbazine,dasatinib + procarbazine,22,-15.8,70,-159,0.6,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.896802603867509,FALSE,FALSE,not_patient_scored
everolimus,procarbazine,everolimus + procarbazine,-19,-16,34,-44,0.2,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
pazopanib,procarbazine,pazopanib + procarbazine,-34,-27.6,23,-64,0.2,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
imatinib,procarbazine,imatinib + procarbazine,-40,-63.4,-15,-151,0,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
